season,id,name,description,home_team,away_team,1st_inning_score,2nd_inning_score,result
2021,1254058,Mumbai Indians v Royal Challengers Bangalore,"1st Match (N), Indian Premier League at Chennai, Apr 9 2021",MI,RCB,159/9,160/8,RCB won by 2 wkts (0b rem)
2020,1216492,Mumbai Indians v Chennai Super Kings,"1st Match (N), Indian Premier League at Abu Dhabi, Sep 19 2020",MI,CSK,162/9,166/5,Super Kings won by 5 wickets
2020,1216493,Delhi Capitals v Kings XI Punjab,"2nd Match (N), Indian Premier League at Dubai (DSC), Sep 20 2020",DC,KXIP,157/8,157/8,Match tied (Delhi Capitals won the one-over eliminator)
2020,1216534,Sunrisers Hyderabad v Royal Challengers Bangalore,"3rd Match (N), Indian Premier League at Dubai (DSC), Sep 21 2020",SRH,RCB,163/5,153,RCB won by 10 runs
2020,1216496,Rajasthan Royals v Chennai Super Kings,"4th Match (N), Indian Premier League at Sharjah, Sep 22 2020",RR,CSK,216/7,200/6,Royals won by 16 runs
2020,1216508,Kolkata Knight Riders v Mumbai Indians,"5th Match (N), Indian Premier League at Abu Dhabi, Sep 23 2020",KKR,MI,195/5,146/9,Mum Indians won by 49 runs
2020,1216510,Kings XI Punjab v Royal Challengers Bangalore,"6th Match (N), Indian Premier League at Dubai (DSC), Sep 24 2020",KXIP,RCB,206/3,109,Kings XI won by 97 runs
2020,1216539,Chennai Super Kings v Delhi Capitals,"7th Match (N), Indian Premier League at Dubai (DSC), Sep 25 2020",CSK,DC,175/3,131/7,Capitals won by 44 runs
2020,1216545,Kolkata Knight Riders v Sunrisers Hyderabad,"8th Match (N), Indian Premier League at Abu Dhabi, Sep 26 2020",KKR,SRH,142/4,145/3,KKR won by 7 wickets
2020,1216527,Rajasthan Royals v Kings XI Punjab,"9th Match (N), Indian Premier League at Sharjah, Sep 27 2020",RR,KXIP,223/2,226/6,Royals won by 4 wickets
2020,1216547,Royal Challengers Bangalore v Mumbai Indians,"10th Match (N), Indian Premier League at Dubai (DSC), Sep 28 2020",RCB,MI,201/3,201/5,Match tied (Royal Challengers Bangalore won the one-over eliminator)
2020,1216532,Delhi Capitals v Sunrisers Hyderabad,"11th Match (N), Indian Premier League at Abu Dhabi, Sep 29 2020",DC,SRH,162/4,147/7,Sunrisers won by 15 runs
2020,1216504,Rajasthan Royals v Kolkata Knight Riders,"12th Match (N), Indian Premier League at Dubai (DSC), Sep 30 2020",RR,KKR,174/6,137/9,KKR won by 37 runs
2020,1216503,Kings XI Punjab v Mumbai Indians,"13th Match (N), Indian Premier League at Abu Dhabi, Oct 1 2020",KXIP,MI,191/4,143/8,Mum Indians won by 48 runs
2020,1216516,Chennai Super Kings v Sunrisers Hyderabad,"14th Match (N), Indian Premier League at Dubai (DSC), Oct 2 2020",CSK,SRH,164/5,157/5,Sunrisers won by 7 runs
2020,1216514,Royal Challengers Bangalore v Rajasthan Royals,"15th Match, Indian Premier League at Abu Dhabi, Oct 3 2020",RCB,RR,154/6,158/2,RCB won by 8 wickets
2020,1216515,Delhi Capitals v Kolkata Knight Riders,"16th Match (N), Indian Premier League at Sharjah, Oct 3 2020",DC,KKR,228/4,210/8,Capitals won by 18 runs
2020,1216538,Mumbai Indians v Sunrisers Hyderabad,"17th Match, Indian Premier League at Sharjah, Oct 4 2020",MI,SRH,208/5,174/7,Mum Indians won by 34 runs
2020,1216513,Kings XI Punjab v Chennai Super Kings,"18th Match (N), Indian Premier League at Dubai (DSC), Oct 4 2020",KXIP,CSK,178/4,181/0,Super Kings won by 10 wickets
2020,1216519,Royal Challengers Bangalore v Delhi Capitals,"19th Match (N), Indian Premier League at Dubai (DSC), Oct 5 2020",RCB,DC,196/4,137/9,Capitals won by 59 runs
2020,1216511,Mumbai Indians v Rajasthan Royals,"20th Match (N), Indian Premier League at Abu Dhabi, Oct 6 2020",MI,RR,193/4,136,Mum Indians won by 57 runs
2020,1216501,Kolkata Knight Riders v Chennai Super Kings,"21st Match (N), Indian Premier League at Abu Dhabi, Oct 7 2020",KKR,CSK,167,157/5,KKR won by 10 runs
2020,1216542,Sunrisers Hyderabad v Kings XI Punjab,"22nd Match (N), Indian Premier League at Dubai (DSC), Oct 8 2020",SRH,KXIP,201/6,132,Sunrisers won by 69 runs
2020,1216500,Rajasthan Royals v Delhi Capitals,"23rd Match (N), Indian Premier League at Sharjah, Oct 9 2020",RR,DC,184/8,138,Capitals won by 46 runs
2020,1216523,Kings XI Punjab v Kolkata Knight Riders,"24th Match, Indian Premier League at Abu Dhabi, Oct 10 2020",KXIP,KKR,164/6,162/5,KKR won by 2 runs
2020,1216525,Chennai Super Kings v Royal Challengers Bangalore,"25th Match (N), Indian Premier League at Dubai (DSC), Oct 10 2020",CSK,RCB,169/4,132/8,RCB won by 37 runs
2020,1216507,Sunrisers Hyderabad v Rajasthan Royals,"26th Match, Indian Premier League at Dubai (DSC), Oct 11 2020",SRH,RR,158/4,163/5,Royals won by 5 wickets
2020,1216529,Mumbai Indians v Delhi Capitals,"27th Match (N), Indian Premier League at Abu Dhabi, Oct 11 2020",MI,DC,162/4,166/5,Mum Indians won by 5 wickets
2020,1216540,Royal Challengers Bangalore v Kolkata Knight Riders,"28th Match (N), Indian Premier League at Sharjah, Oct 12 2020",RCB,KKR,194/2,112/9,RCB won by 82 runs
2020,1216528,Sunrisers Hyderabad v Chennai Super Kings,"29th Match (N), Indian Premier League at Dubai (DSC), Oct 13 2020",SRH,CSK,167/6,147/8,Super Kings won by 20 runs
2020,1216543,Delhi Capitals v Rajasthan Royals,"30th Match (N), Indian Premier League at Dubai (DSC), Oct 14 2020",DC,RR,161/7,148/8,Capitals won by 13 runs
2020,1216531,Royal Challengers Bangalore v Kings XI Punjab,"31st Match (N), Indian Premier League at Sharjah, Oct 15 2020",RCB,KXIP,171/6,177/2,Kings XI won by 8 wickets
2020,1216526,Mumbai Indians v Kolkata Knight Riders,"32nd Match (N), Indian Premier League at Abu Dhabi, Oct 16 2020",MI,KKR,148/5,149/2,Mum Indians won by 8 wickets
2020,1216522,Rajasthan Royals v Royal Challengers Bangalore,"33rd Match, Indian Premier League at Dubai (DSC), Oct 17 2020",RR,RCB,177/6,179/3,RCB won by 7 wickets
2020,1216509,Delhi Capitals v Chennai Super Kings,"34th Match (N), Indian Premier League at Sharjah, Oct 17 2020",DC,CSK,179/4,185/5,Capitals won by 5 wickets
2020,1216512,Sunrisers Hyderabad v Kolkata Knight Riders,"35th Match, Indian Premier League at Abu Dhabi, Oct 18 2020",SRH,KKR,163/5,163/6,Match tied (Kolkata Knight Riders won the one-over eliminator)
2020,1216517,Mumbai Indians v Kings XI Punjab,"36th Match (N), Indian Premier League at Dubai (DSC), Oct 18 2020",MI,KXIP,176/6,176/6,Match tied (Kings XI Punjab won the one-over eliminator)
2020,1216533,Chennai Super Kings v Rajasthan Royals,"37th Match (N), Indian Premier League at Abu Dhabi, Oct 19 2020",CSK,RR,125/5,126/3,Royals won by 7 wickets
2020,1216546,Kings XI Punjab v Delhi Capitals,"38th Match (N), Indian Premier League at Dubai (DSC), Oct 20 2020",KXIP,DC,164/5,167/5,Kings XI won by 5 wickets
2020,1216494,Kolkata Knight Riders v Royal Challengers Bangalore,"39th Match (N), Indian Premier League at Abu Dhabi, Oct 21 2020",KKR,RCB,84/8,85/2,RCB won by 8 wickets
2020,1216518,Rajasthan Royals v Sunrisers Hyderabad,"40th Match (N), Indian Premier League at Dubai (DSC), Oct 22 2020",RR,SRH,154/6,156/2,Sunrisers won by 8 wickets
2020,1216521,Chennai Super Kings v Mumbai Indians,"41st Match (N), Indian Premier League at Sharjah, Oct 23 2020",CSK,MI,114/9,116/0,Mum Indians won by 10 wickets
2020,1216497,Kolkata Knight Riders v Delhi Capitals,"42nd Match, Indian Premier League at Abu Dhabi, Oct 24 2020",KKR,DC,194/6,135/9,KKR won by 59 runs
2020,1216498,Kings XI Punjab v Sunrisers Hyderabad,"43rd Match (N), Indian Premier League at Dubai (DSC), Oct 24 2020",KXIP,SRH,126/7,114,Kings XI won by 12 runs
2020,1216544,Royal Challengers Bangalore v Chennai Super Kings,"44th Match, Indian Premier League at Dubai (DSC), Oct 25 2020",RCB,CSK,145/6,150/2,Super Kings won by 8 wickets
2020,1216541,Rajasthan Royals v Mumbai Indians,"45th Match (N), Indian Premier League at Abu Dhabi, Oct 25 2020",RR,MI,195/5,196/2,Royals won by 8 wickets
2020,1216520,Kolkata Knight Riders v Kings XI Punjab,"46th Match (N), Indian Premier League at Sharjah, Oct 26 2020",KKR,KXIP,149/9,150/2,Kings XI won by 8 wickets
2020,1216524,Sunrisers Hyderabad v Delhi Capitals,"47th Match (N), Indian Premier League at Dubai (DSC), Oct 27 2020",SRH,DC,219/2,131,Sunrisers won by 88 runs
2020,1216499,Mumbai Indians v Royal Challengers Bangalore,"48th Match (N), Indian Premier League at Abu Dhabi, Oct 28 2020",MI,RCB,164/6,166/5,Mum Indians won by 5 wickets
2020,1216536,Chennai Super Kings v Kolkata Knight Riders,"49th Match (N), Indian Premier League at Dubai (DSC), Oct 29 2020",CSK,KKR,172/5,178/4,Super Kings won by 6 wickets
